206,645,169,454
299,647,330,457
184,451,311,453
159,375,251,382
158,276,245,255
346,367,259,382
347,286,261,252
144,311,106,290
351,314,390,289
107,283,110,147
395,286,388,147
116,139,171,48
385,144,331,46
183,50,244,35
323,44,256,36
350,365,355,293
147,370,149,284
334,449,350,377
161,448,148,384
213,642,245,635
292,648,256,635
140,451,155,564
130,460,101,589
99,602,104,685
107,695,130,714
160,576,165,677
164,691,139,716
370,452,396,586
358,452,342,565
343,575,338,682
396,592,395,690
337,695,355,714
394,698,370,711
170,703,244,709
330,694,254,709
252,367,251,314
253,261,253,301
160,258,204,111
345,262,303,118
183,138,171,93
320,139,337,103
