207,548,177,388
280,546,317,387
191,368,311,367
180,295,242,326
189,210,245,207
318,281,252,326
313,215,256,207
178,144,104,86
323,146,381,91
106,88,114,40
381,87,380,45
122,39,193,26
380,39,294,30
202,28,235,42
284,29,248,40
327,278,318,160
173,293,180,169
317,371,323,289
177,366,172,307
209,552,242,536
277,551,246,534
184,481,140,561
176,438,81,533
76,544,97,645
101,646,184,707
138,566,191,637
193,643,197,703
316,444,405,536
299,500,347,574
343,575,295,635
413,555,403,653
293,645,298,678
397,659,302,690
214,571,239,613
276,567,251,611
177,242,246,274
317,244,260,277
186,136,218,50
302,140,264,49
185,116,145,65
307,119,337,61
